0,A,*,*,"A () A barbarous corruption of have, of he, and sometimes of it and of they.",dictionarya.aiml
0,A ,*,*,"A- () A, as a prefix to English words, is derived from various sources. (1) It frequently signifies on or in (from an, a forms of AS. on), denoting a state, as in afoot, on foot, abed, amiss, asleep, aground, aloft, away (AS. onweg), and analogically, ablaze, atremble, etc. (2) AS. of off, from, as in adown (AS. ofd/ne off the dun or hill). (3) AS. a- (Goth. us-, ur-, Ger. er-), usually giving an intensive force, and sometimes the sense of away, on, back, as in arise, abide, ago. (4) Old English y- or i- (corrupted from the AS. inseparable particle ge-, cognate with OHG. ga-, gi-, Goth. ga-), which, as a prefix, made no essential addition to the meaning, as in aware. (5) French a (L. ad to), as in abase, achieve. (6) L. a, ab, abs, from, as in avert. (7) Greek insep. prefix / without, or privative, not, as in abyss, atheist; akin to E. un-.",dictionarya.aiml
0,A,*,*,"A () An adjective, commonly called the indefinite article, and signifying one or any, but less emphatically.",dictionarya.aiml
0,A,*,*,"A () An expletive, void of sense, to fill up the meter",dictionarya.aiml
0,A,*,*,"A () In each; to or for each; as, ""twenty leagues a day"", ""a hundred pounds a year"", ""a dollar a yard"", etc.",dictionarya.aiml
0,A,*,*,A () Of.,dictionarya.aiml
0,A,*,*,"A () The first letter of the English and of many other alphabets. The capital A of the alphabets of Middle and Western Europe, as also the small letter (a), besides the forms in Italic, black letter, etc., are all descended from the old Latin A, which was borrowed from the Greek Alpha, of the same form; and this was made from the first letter (/) of the Phoenician alphabet, the equivalent of the Hebrew Aleph, and itself from the Egyptian origin. The Aleph was a consonant letter, with a guttural breath sound that was not an element of Greek articulation; and the Greeks took it to represent their vowel Alpha with the a sound, the Phoenician alphabet having no vowel symbols.",dictionarya.aiml
0,A,*,*,"A () The name of the sixth tone in the model major scale (that in C), or the first tone of the minor scale, which is named after it the scale in A minor. The second string of the violin is tuned to the A in the treble staff. -- A sharp (A/) is the name of a musical tone intermediate between A and B. -- A flat (A/) is the name of a tone intermediate between A and G.",dictionarya.aiml
0,A,*,*,"A (prep.) In process of; in the act of; into; to; -- used with verbal substantives in -ing which begin with a consonant. This is a shortened form of the preposition an (which was used before the vowel sound); as in a hunting, a building, a begging.",dictionarya.aiml
0,A,*,*,A (prep.) In; on; at; by.,dictionarya.aiml
0,A,*,*,A 1 () A registry mark given by underwriters (as at Lloyd's) to ships in first-class condition. Inferior grades are indicated by A 2 and A 3.,dictionarya.aiml
0,A,*,*,A B C () A primer for teaching the alphabet and first elements of reading.,dictionarya.aiml
0,A,*,*,"A B C () The first three letters of the alphabet, used for the whole alphabet.",dictionarya.aiml
0,A,*,*,"A B C () The simplest rudiments of any subject; as, the A B C of finance.",dictionarya.aiml
0,A,*,*,"A cappella () A time indication, equivalent to alla breve.",dictionarya.aiml
0,A,*,*,"A cappella () In church or chapel style; -- said of compositions sung in the old church style, without instrumental accompaniment; as, a mass a capella, i. e., a mass purely vocal.",dictionarya.aiml
0,A,*,*,A fortiori () With stronger reason.,dictionarya.aiml
0,A,*,*,"A mensa et thoro () A kind of divorce which does not dissolve the marriage bond, but merely authorizes a separate life of the husband and wife.",dictionarya.aiml
0,A,*,*,A posteriori () Applied to knowledge which is based upon or derived from facts through induction or experiment; inductive or empirical.,dictionarya.aiml
0,A,*,*,"A posteriori () Characterizing that kind of reasoning which derives propositions from the observation of facts, or by generalizations from facts arrives at principles and definitions, or infers causes from effects. This is the reverse of a priori reasoning.",dictionarya.aiml
0,A,*,*,"A priori () Applied to knowledge and conceptions assumed, or presupposed, as prior to experience, in order to make experience rational or possible.",dictionarya.aiml
0,A,*,*,"A priori () Characterizing that kind of reasoning which deduces consequences from definitions formed, or principles assumed, or which infers effects from causes previously known; deductive or deductively. The reverse of a posteriori.",dictionarya.aiml
0,AAM,*,*,"Aam (n.) A Dutch and German measure of liquids, varying in different cities, being at Amsterdam about 41 wine gallons, at Antwerp 36 1/2, at Hamburg 38 1/4.",dictionarya.aiml
0,AARD VARK,*,*,"Aard-vark (n.) An edentate mammal, of the genus Orycteropus, somewhat resembling a pig, common in some parts of Southern Africa. It burrows in the ground, and feeds entirely on ants, which it catches with its long, slimy tongue.",dictionarya.aiml
0,AARD WOLF,*,*,"Aard-wolf (n.) A carnivorous quadruped (Proteles Lalandii), of South Africa, resembling the fox and hyena. See Proteles.",dictionarya.aiml
0,AARONIC,*,*,Aaronic (a.) Alt. of Aaronical,dictionarya.aiml
0,AARONICAL,*,*,"Aaronical (a.) Pertaining to Aaron, the first high priest of the Jews.",dictionarya.aiml
0,AARON S,*,*,"Aaron's rod () A plant with a tall flowering stem; esp. the great mullein, or hag-taper, and the golden-rod.",dictionarya.aiml
0,AARON S,*,*,"Aaron's rod () A rod with one serpent twined around it, thus differing from the caduceus of Mercury, which has two.",dictionarya.aiml
0,AB ,*,*,"Ab- () A prefix in many words of Latin origin. It signifies from, away , separating, or departure, as in abduct, abstract, abscond. See A-(6).",dictionarya.aiml
0,AB,*,*,"Ab (n.) The fifth month of the Jewish year according to the ecclesiastical reckoning, the eleventh by the civil computation, coinciding nearly with August.",dictionarya.aiml
